center,left,right,steering,throttle,brake,speed
IMG2/center_2017_10_24_10_18_13_113.jpg,IMG2/left_2017_10_24_10_18_13_113.jpg,IMG2/right_2017_10_24_10_18_13_113.jpg,0,0,0,4.381091
IMG2/center_2017_10_24_10_18_13_181.jpg,IMG2/left_2017_10_24_10_18_13_181.jpg,IMG2/right_2017_10_24_10_18_13_181.jpg,0,0,0,4.345893
IMG2/center_2017_10_24_10_18_13_249.jpg,IMG2/left_2017_10_24_10_18_13_249.jpg,IMG2/right_2017_10_24_10_18_13_249.jpg,0,0,0,4.31968
IMG2/center_2017_10_24_10_18_13_318.jpg,IMG2/left_2017_10_24_10_18_13_318.jpg,IMG2/right_2017_10_24_10_18_13_318.jpg,-0.1,0,0,4.292165
IMG2/center_2017_10_24_10_18_13_387.jpg,IMG2/left_2017_10_24_10_18_13_387.jpg,IMG2/right_2017_10_24_10_18_13_387.jpg,-0.3,0.01192492,0,4.248249
IMG2/center_2017_10_24_10_18_13_456.jpg,IMG2/left_2017_10_24_10_18_13_456.jpg,IMG2/right_2017_10_24_10_18_13_456.jpg,-0.45,0.1819739,0,4.292109
IMG2/center_2017_10_24_10_18_13_523.jpg,IMG2/left_2017_10_24_10_18_13_523.jpg,IMG2/right_2017_10_24_10_18_13_523.jpg,-0.6500001,0.4315109,0,4.552069
IMG2/center_2017_10_24_10_18_13_593.jpg,IMG2/left_2017_10_24_10_18_13_593.jpg,IMG2/right_2017_10_24_10_18_13_593.jpg,-0.8699607,0.6101249,0,4.872775
IMG2/center_2017_10_24_10_18_13_660.jpg,IMG2/left_2017_10_24_10_18_13_660.jpg,IMG2/right_2017_10_24_10_18_13_660.jpg,-0.6381147,0.841971,0,5.556743
IMG2/center_2017_10_24_10_18_13_728.jpg,IMG2/left_2017_10_24_10_18_13_728.jpg,IMG2/right_2017_10_24_10_18_13_728.jpg,-0.4596178,1,0,6.217395
IMG2/center_2017_10_24_10_18_13_796.jpg,IMG2/left_2017_10_24_10_18_13_796.jpg,IMG2/right_2017_10_24_10_18_13_796.jpg,-0.2691298,1,0,6.910554
IMG2/center_2017_10_24_10_18_13_864.jpg,IMG2/left_2017_10_24_10_18_13_864.jpg,IMG2/right_2017_10_24_10_18_13_864.jpg,-0.03782684,1,0,7.817532
IMG2/center_2017_10_24_10_18_13_932.jpg,IMG2/left_2017_10_24_10_18_13_932.jpg,IMG2/right_2017_10_24_10_18_13_932.jpg,0,1,0,8.491635
IMG2/center_2017_10_24_10_18_14_003.jpg,IMG2/left_2017_10_24_10_18_14_003.jpg,IMG2/right_2017_10_24_10_18_14_003.jpg,-0.15,1,0,9.386362
IMG2/center_2017_10_24_10_18_14_078.jpg,IMG2/left_2017_10_24_10_18_14_078.jpg,IMG2/right_2017_10_24_10_18_14_078.jpg,-0.3,1,0,10.0367
IMG2/center_2017_10_24_10_18_14_148.jpg,IMG2/left_2017_10_24_10_18_14_148.jpg,IMG2/right_2017_10_24_10_18_14_148.jpg,-0.4376249,1,0,10.87668
IMG2/center_2017_10_24_10_18_14_214.jpg,IMG2/left_2017_10_24_10_18_14_214.jpg,IMG2/right_2017_10_24_10_18_14_214.jpg,-0.2497829,1,0,11.63735
IMG2/center_2017_10_24_10_18_14_284.jpg,IMG2/left_2017_10_24_10_18_14_284.jpg,IMG2/right_2017_10_24_10_18_14_284.jpg,-0.01335883,1,0,12.48645
IMG2/center_2017_10_24_10_18_14_363.jpg,IMG2/left_2017_10_24_10_18_14_363.jpg,IMG2/right_2017_10_24_10_18_14_363.jpg,0,1,0,13.26404
IMG2/center_2017_10_24_10_18_14_434.jpg,IMG2/left_2017_10_24_10_18_14_434.jpg,IMG2/right_2017_10_24_10_18_14_434.jpg,0,1,0,13.94019
IMG2/center_2017_10_24_10_18_14_502.jpg,IMG2/left_2017_10_24_10_18_14_502.jpg,IMG2/right_2017_10_24_10_18_14_502.jpg,-0.1,1,0,14.80903
IMG2/center_2017_10_24_10_18_14_575.jpg,IMG2/left_2017_10_24_10_18_14_575.jpg,IMG2/right_2017_10_24_10_18_14_575.jpg,-0.25,1,0,15.36026
IMG2/center_2017_10_24_10_18_14_648.jpg,IMG2/left_2017_10_24_10_18_14_648.jpg,IMG2/right_2017_10_24_10_18_14_648.jpg,-0.45,1,0,16.12888
IMG2/center_2017_10_24_10_18_14_719.jpg,IMG2/left_2017_10_24_10_18_14_719.jpg,IMG2/right_2017_10_24_10_18_14_719.jpg,-0.378057,1,0,16.82531
IMG2/center_2017_10_24_10_18_14_795.jpg,IMG2/left_2017_10_24_10_18_14_795.jpg,IMG2/right_2017_10_24_10_18_14_795.jpg,-0.135132,1,0,17.67117
IMG2/center_2017_10_24_10_18_14_865.jpg,IMG2/left_2017_10_24_10_18_14_865.jpg,IMG2/right_2017_10_24_10_18_14_865.jpg,0,1,0,18.48083
IMG2/center_2017_10_24_10_18_14_934.jpg,IMG2/left_2017_10_24_10_18_14_934.jpg,IMG2/right_2017_10_24_10_18_14_934.jpg,0,1,0,18.94742
